Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
280000,2.8917263,4.416260162601626,1.7517264,3.8902497480130016,3.8902497480130016,1.5186319,0.25662124,0.00021749381,1.0
290000,2.9504,4.485479452054794,1.7894139,3.9444328149595695,3.9444328149595695,1.5749205,0.24727494,0.00021448809,1.0
300000,3.0192108,4.424605334784975,1.7433765,3.9041785393082056,3.9041785393082056,1.1869328,0.26289764,0.00021149778,1.0
310000,3.0623276,4.536842105263158,1.8018808,3.9973427644731725,3.9973427644731725,1.7682632,0.2526573,0.00020850783,1.0
320000,3.1146555,4.7495682210708114,1.7438741,4.1999430988026765,4.1999430988026765,1.7768939,0.25783634,0.00020549941,1.0
330000,3.1448228,5.035649546827795,2.0109003,4.491913688276356,4.491913688276356,2.2295556,0.2646386,0.00020249092,1.0
340000,3.1620855,5.83025325119781,2.530217,5.28298084212751,5.28298084212751,4.74322,0.26959237,0.00019950714,1.0
350000,3.196495,5.907394609536973,2.6295254,5.343616951244136,5.343616951244136,4.432534,0.2576462,0.00019651416,1.0
360000,3.2577047,6.205776173285199,2.883704,5.668904009835544,5.668904009835544,5.335944,0.26996264,0.00019351274,1.0
370000,3.291993,5.6253315649867375,2.4255447,5.070994026613551,5.070994026613551,4.0967846,0.2846103,0.00019050152,1.0
380000,3.3124716,5.352380952380952,2.3033104,4.793778392398168,4.793778392398168,2.20521,0.27747446,0.00018750438,1.0
390000,3.3220103,5.276729559748428,2.078767,4.727558676282041,4.727558676282041,2.3381245,0.2661064,0.00018450273,1.0
400000,3.3600848,5.390524967989757,2.3001244,4.860166853041295,4.860166853041295,2.1264756,0.26069465,0.00018149923,1.0
410000,3.3962016,4.847279110590989,1.9549749,4.304152609033194,4.304152609033194,1.1289462,0.2552582,0.00017850385,1.0
420000,3.4179187,4.84093567251462,1.9216322,4.2953860786195115,4.2953860786195115,1.0883075,0.25210086,0.00017550039,1.0
430000,3.418938,4.59317291550084,1.8028105,4.053468117244559,4.053468117244559,0.77621907,0.2603729,0.00017250243,1.0
440000,3.418938,4.878235294117647,1.9282384,4.334098167800679,4.334098167800679,1.1455469,0.26008794,0.00016949516,1.0
450000,3.418938,5.230961298377029,2.1550798,4.700623675224565,4.700623675224565,1.9368873,0.25436908,0.00016650691,1.0
460000,3.418938,5.845890410958904,2.586976,5.306571524898782,5.306571524898782,4.5462375,0.2598526,0.00016351191,1.0
470000,3.418938,4.907210401891253,2.0028021,4.378027774706016,4.378027774706016,2.0240173,0.26031762,0.0001605123,1.0
480000,3.418938,4.720091585575272,1.8611114,4.1981699323490504,4.1981699323490504,1.7160254,0.24777623,0.0001575081,1.0
490000,3.418938,4.559821925431274,1.8067766,4.033408026883442,4.033408026883442,1.2031662,0.23916197,0.00015450746,1.0
500000,3.418938,4.6827743035815805,1.8247703,4.143693760579283,4.143693760579283,1.4121089,0.25205854,0.00015150319,1.0
510000,3.418938,4.679567444507684,1.8906963,4.136968204610934,4.136968204610934,1.2473392,0.24710308,0.00014849985,1.0
520000,3.418938,5.078134463961236,2.1066034,4.53677245800935,4.53677245800935,2.8056822,0.27718547,0.000145505,1.0
530000,3.418938,6.045261669024045,2.731844,5.498872346366914,5.498872346366914,4.9671817,0.25387114,0.00014249589,1.0
540000,3.418938,6.345814977973569,2.966024,5.78907698008322,5.78907698008322,6.359291,0.2524002,0.00013949815,1.0
550000,3.418938,6.225362318840579,2.8484163,5.6992766135503725,5.6992766135503725,5.5745406,0.29327682,0.00013649663,1.0
560000,3.418938,5.9484679665738165,2.6027503,5.407655528293522,5.407655528293522,4.5724435,0.26141563,0.000133496,1.0
570000,3.418938,6.426874536005939,2.8418062,5.864863580204629,5.864863580204629,5.133814,0.2669297,0.00013049423,1.0
580000,3.418938,5.725925925925926,2.416128,5.203769171863674,5.203769171863674,3.887671,0.27268738,0.00012750039,1.0
590000,3.418938,5.941626129256428,2.6932364,5.416945126983855,5.416945126983855,4.060591,0.2609388,0.00012449954,1.0
600000,3.418938,5.651162790697675,2.4343467,5.119814487213784,5.119814487213784,2.8642197,0.32115474,0.000121491765,1.0
610000,3.418938,5.35133418043202,2.2577515,4.821397450613597,4.821397450613597,2.2135136,0.24584505,0.00011848898,1.0
620000,3.418938,5.121936274509804,2.0744743,4.59497917187557,4.59497917187557,1.7550143,0.24308985,0.000115502036,1.0
630000,3.418938,5.526797385620915,2.375338,5.0020241521046,5.0020241521046,2.9092562,0.25034386,0.000112507994,1.0
640000,3.418938,5.155268022181146,2.1077728,4.6322050471904825,4.6322050471904825,1.9981924,0.25368437,0.00010950532,1.0
650000,3.418938,5.504557291666667,2.2585132,4.968966166540331,4.968966166540331,2.7337945,0.26139003,0.00010648973,1.0
660000,3.418938,5.678832116788321,2.3769736,5.1346877476823,5.1346877476823,3.236149,0.2579687,0.00010349294,1.0
670000,3.418938,5.6025215660252154,2.4246848,5.09887483293647,5.09887483293647,3.08287,0.25662735,0.000100484845,1.0
680000,3.418938,4.7269076305220885,1.8919584,4.209107113867691,4.209107113867691,1.3073771,0.24662487,9.749319e-05,1.0
690000,3.418938,4.8708162066940695,1.972773,4.3595425787212845,4.3595425787212845,1.4274668,0.24709468,9.4513875e-05,1.0
700000,3.418938,5.3606870229007635,2.1748807,4.827099869421117,4.827099869421117,2.5385914,0.25681558,9.150172e-05,1.0
